Id,Category
0,rabbit
1,apple
2,mug
3,moustache
4,empty
5,rifle
6,mouth
7,apple
8,pineapple
9,sailboat
10,pineapple
11,pineapple
12,skateboard
13,skull
14,pineapple
15,scorpion
16,skateboard
17,nail
18,nail
19,rifle
20,scorpion
21,mouth
22,mouth
23,pool
24,rabbit
25,mouth
26,moustache
27,sailboat
28,rabbit
29,sailboat
30,pineapple
31,nail
32,nail
33,octagon
34,nail
35,moustache
36,mouth
37,moustache
38,rollerskates
39,sailboat
40,moustache
41,mouth
42,mouth
43,rabbit
44,pencil
45,mouth
46,sailboat
47,skull
48,nail
49,mouth
50,sailboat
51,mouth
52,sailboat
53,sailboat
54,rifle
55,sailboat
56,nail
57,sailboat
58,nail
59,mouth
60,octagon
61,sailboat
62,rifle
63,nail
64,rollerskates
65,mouth
66,nail
67,mouth
68,octagon
69,mouth
70,moustache
71,pineapple
72,pool
73,sailboat
74,penguin
75,pineapple
76,moustache
77,scorpion
78,moustache
79,mouth
80,mouth
81,nail
82,pool
83,nail
84,pineapple
85,mouth
86,apple
87,mug
88,empty
89,scorpion
90,empty
91,mug
92,mouth
93,pineapple
94,rifle
95,scorpion
96,nail
97,empty
98,pool
99,pineapple
100,sailboat
101,moustache
102,rollerskates
103,empty
104,mouth
105,penguin
106,nail
107,rabbit
108,rifle
109,moustache
110,mouth
111,mouth
112,empty
113,mouth
114,moustache
115,shovel
116,nail
117,mouth
118,skateboard
119,empty
120,skull
121,penguin
122,mug
123,rifle
124,sailboat
125,octagon
126,sailboat
127,mouth
128,rabbit
129,mouth
130,rabbit
131,pillow
132,empty
133,nail
134,rifle
135,moustache
136,rollerskates
137,rollerskates
138,pillow
139,sailboat
140,nail
141,scorpion
142,moustache
143,apple
144,pool
145,rollerskates
146,sailboat
147,apple
148,mouth
149,pencil
150,moustache
151,rifle
152,pineapple
153,moustache
154,scorpion
155,empty
156,apple
157,nail
158,sailboat
159,octagon
160,sailboat
161,shovel
162,rifle
163,pool
164,scorpion
165,pineapple
166,skateboard
167,empty
168,mug
169,octagon
170,pineapple
171,rifle
172,pineapple
173,pineapple
174,pineapple
175,nail
176,moustache
177,empty
178,rabbit
179,mouth
180,rabbit
181,sailboat
182,pineapple
183,mug
184,rifle
185,nail
186,pineapple
187,mouth
188,octagon
189,empty
190,pineapple
191,pineapple
192,sailboat
193,mouth
194,pineapple
195,pineapple
196,sailboat
197,pineapple
198,mouth
199,mouth
200,pool
201,rifle
202,rollerskates
203,octagon
204,mouth
205,mouth
206,skateboard
207,pineapple
208,moustache
209,paintbrush
210,mouth
211,sailboat
212,rollerskates
213,rifle
214,scorpion
215,pillow
216,skateboard
217,rollerskates
218,rabbit
219,mouth
220,nail
221,empty
222,nail
223,empty
224,mug
225,mouth
226,rifle
227,mouth
228,sailboat
229,pineapple
230,sailboat
231,moustache
232,moustache
233,rifle
234,pineapple
235,nail
236,mouth
237,pillow
238,octagon
239,rollerskates
240,apple
241,rifle
242,octagon
243,shovel
244,pineapple
245,sailboat
246,pineapple
247,rifle
248,pencil
249,pineapple
250,scorpion
251,pool
252,pineapple
253,pool
254,scorpion
255,nail
256,pineapple
257,rifle
258,octagon
259,pool
260,empty
261,apple
262,pineapple
263,empty
264,scorpion
265,moustache
266,nail
267,moustache
268,nail
269,nail
270,mouth
271,nail
272,nail
273,mouth
274,pillow
275,pineapple
276,rifle
277,mug
278,nail
279,skateboard
280,rifle
281,mouth
282,mouth
283,moustache
284,pineapple
285,mug
286,pineapple
287,skateboard
288,mouth
289,sailboat
290,rollerskates
291,rifle
292,scorpion
293,rifle
294,nail
295,pineapple
296,mouth
297,pineapple
298,skateboard
299,nail
300,pencil
301,mouth
302,scorpion
303,rifle
304,nail
305,octagon
306,nail
307,apple
308,skateboard
309,empty
310,rifle
311,skateboard
312,rollerskates
313,rollerskates
314,sailboat
315,pineapple
316,pineapple
317,mouth
318,mug
319,rabbit
320,rifle
321,mouth
322,mouth
323,rollerskates
324,nail
325,nail
326,rifle
327,pineapple
328,mouth
329,nail
330,paintbrush
331,pineapple
332,sink
333,pineapple
334,octagon
335,penguin
336,sailboat
337,scorpion
338,empty
339,pineapple
340,mouth
341,rifle
342,nail
343,octagon
344,pineapple
345,pineapple
346,rollerskates
347,rabbit
348,empty
349,shovel
350,sailboat
351,pineapple
352,pool
353,octagon
354,octagon
355,moustache
356,nail
357,mouth
358,sailboat
359,octagon
360,empty
361,nail
362,empty
363,mouth
364,rifle
